incr_porcentual,tipo_contrato,salario_anual,rating_performance
1,Contrato Fijo,25000,Bueno
1,Contrato Fijo,25000,Normal
1,Contrato Fijo,25000,Bueno
1,Contrato por Hora,33987.2,Normal
NA,Contrato por Hora,34798.4,Bueno
NA,Contrato por Hora,35360,NA
NA,Contrato por Hora,37440,NA
0,Contrato por Hora,37814.4,NA
4,Contrato por Hora,41100.8,Excelente
1.2,Contrato por Hora,42328,NA
5,Contrato por Hora,42390.4,NA
1.2,Contrato por Hora,42515.2,Bueno
2.5,Contrato por Hora,42702.4,Excelente
NA,Contrato por Hora,44990.4,NA
NA,Contrato por Hora,45510.4,Normal
0,Contrato por Hora,45510.4,Normal
1.5,Contrato por Hora,46321.6,Normal
3,Contrato por Hora,47840,Bueno
1.3,Contrato por Hora,48609.6,Normal
1.3,Contrato por Hora,48609.6,NA
3,Contrato por Hora,49441.6,NA
3,Contrato por Hora,49920,Normal
2.7,Contrato por Hora,50252.8,Normal
1.2,Contrato por Hora,50564.8,Normal
1,Contrato por Hora,50876.8,Bueno
1.2,Contrato por Hora,50939.2,Normal
1.2,Contrato por Hora,50939.2,Normal
1.2,Contrato por Hora,50939.2,Normal
1.2,Contrato por Hora,50939.2,Normal
NA,Contrato por Hora,51001.6,NA
1.3,Contrato por Hora,51875.2,Normal
1.2,Contrato por Hora,52624,Normal
NA,Contrato por Hora,52998.4,NA
12,Contrato por Hora,53768,Excelente
1,Contrato por Hora,54246.4,NA
1,Contrato por Hora,54537.6,NA
2.5,Contrato por Hora,55120,NA
10,Contrato Fijo,25000,Normal
2.5,Contrato por Hora,55432,Bueno
10,Contrato por Hora,55473.6,Excelente
0,Contrato por Hora,56160,NA
0,Contrato por Hora,56160,NA
2,Contrato por Hora,57740.8,Normal
3,Contrato por Hora,58988.8,Normal
1.5,Contrato por Hora,60736,Normal
2.5,Contrato por Hora,61505.6,Normal
0,Contrato por Hora,62400,NA
12,Contrato por Hora,68640,NA
1.3,Contrato por Hora,70616,NA
0,Contrato por Hora,75441.6,NA
4,Contrato por Hora,75712,Bueno
3.5,Contrato por Hora,79102.4,Normal
1,Contrato por Hora,83200,NA
0,Contrato por Hora,83200,NA
1,Contrato por Hora,85280,NA
2.5,Contrato por Hora,87131.2,Normal
NA,Contrato por Hora,90480,NA
1.2,Contrato por Hora,91457.6,Normal
0,Contrato por Hora,95680,NA
0,Contrato por Hora,95680,NA
2,Contrato por Hora,97094.4,NA
0,Contrato por Hora,104000,Normal
0,Contrato por Hora,104000,Bueno
NA,Contrato por Hora,104998.4,NA
1.5,Contrato por Hora,110240,Normal
3.5,Contrato por Hora,113838.4,Normal
NA,Contrato por Hora,130000,NA
1,Contrato Fijo,28000,Normal
1.2,Contrato Fijo,30500,Normal
4.5,Contrato Fijo,31803,Normal
5.7,Contrato Fijo,32178,Normal
1,Contrato Fijo,33300,Normal
1,Contrato Fijo,33500,Normal
1,Contrato Fijo,33987,Normal
1,Contrato Fijo,34000,Bueno
2.5,Contrato Fijo,34486,Normal
1,Contrato Fijo,34568,Normal
1,Contrato Fijo,34798,NA
1,Contrato Fijo,35000,Normal
0,Contrato Fijo,35760,NA
1,Contrato Fijo,35793,Normal
1,Contrato Fijo,35795,Normal
1.2,Contrato Fijo,35903,Normal
NA,Contrato Fijo,36000,NA
1,Contrato Fijo,36000,Normal
10.2,Contrato Fijo,36939,Bueno
8,Contrato Fijo,37190,Bueno
NA,Contrato Fijo,37232,NA
6.9,Contrato Fijo,37294,Bueno
2.3,Contrato Fijo,37318,Bueno
2,Contrato Fijo,37500,Normal
2.2,Contrato Fijo,37872,Bueno
1.2,Contrato Fijo,39000,Normal
1.2,Contrato Fijo,39083,Normal
0,Contrato Fijo,39520,Normal
1,Contrato Fijo,39771,Normal
1,Contrato Fijo,40000,Normal
0,Contrato Fijo,40000,Normal
1.26,Contrato Fijo,40019,Normal
3,Contrato Fijo,41000,Excelente
0,Contrato Fijo,41221,Normal
1.2,Contrato Fijo,41808,Normal
1,Contrato Fijo,42000,Normal
1.2,Contrato Fijo,42328,Normal
1.2,Contrato Fijo,42328,Normal
2,Contrato Fijo,43181,Bueno
2.5,Contrato Fijo,43389,Excelente
